,pval,variance
GPX4,0.0,10.43200074420142
TUBA1A,0.0,10.431722210428884
RNASET2,0.0,10.429140387506504
LAMTOR4,0.0,10.427538074056512
MT-ND5,0.0,10.405187300264172
YWHAB,0.0,10.400820332248646
SOD1,0.0,10.393378737540836
PSMB9,0.0,10.389601982991604
NOSIP,0.0,10.382166595670324
PSMA7,0.0,10.37024973848528
BRK1,0.0,10.367127686530933
SRSF7,0.0,10.349831849687785
APRT,0.0,10.343408620498934
CAPZB,0.0,10.334109644187942
PPIB,0.0,10.317527432686422
NDUFA4,0.0,10.316559085058596
KLF2,0.0,10.313282190557903
SLC25A3,0.0,10.306937886174127
VAMP8,0.0,10.306333701697982
ATP5D,0.0,10.302474223564003
COX6B1,0.0,10.302390524236447
PCBP2,0.0,10.301823946578182
TRAF3IP3,0.0,10.301152528421916
UBE2D3,0.0,10.293831915595634
PPP1CA,0.0,10.29179039041715
ERP29,0.0,10.28563446038421
ARL6IP4,0.0,10.275484533771898
ATP6V0E1,0.0,10.27296244381213
ID2,0.0,10.264711512219927
UQCR11-1,0.0,10.259892031573393
HIGD2A,0.0,10.254883950075314
TCEB2,0.0,10.247496508101706
ZFP36,0.0,10.246166368134684
DRAP1,0.0,10.244026752351063
HINT1,0.0,10.241041509022631
GTF3A,0.0,10.240091287209424
COX5B,0.0,10.228372282142248
SNRPD2,0.0,10.227526908176568
RPL41,0.0,10.226632023549701
OST4,0.0,10.226436578045536
LDHA,0.0,10.220148408477142
SUMO2,0.0,10.217786526619982
EIF4A2,0.0,10.209396250698385
GIMAP4,0.0,10.207223622870025
COMMD6,0.0,10.202842565782213
ANAPC16,0.0,10.201604586313566
TMBIM6,0.0,10.196081608446466
ZFAS1,0.0,10.195076896463732
HNRNPK,0.0,10.18533260009231
SRSF3,0.0,10.17773039581985
UBXN1,0.0,10.171963340159996
EIF3L,0.0,10.171929770008136
HNRNPDL,0.0,10.17134252960206
SSR4,0.0,10.156620849142017
HMGB1,0.0,10.153960068099423
RAN,0.0,10.148531727248264
PSMB8,0.0,10.145581730161442
CCNI,0.0,10.145566067144399
HNRNPA2B1,0.0,10.140870000263464
BST2,0.0,10.139525289545183
SSR2,0.0,10.126440212761246
HSP90AB1,0.0,10.125410015375628
TPM3,0.0,10.122941151203058
RBM3,0.0,10.122326318388083
SNX3,0.0,10.121196684102403
IFITM2,0.0,10.119374119443792
JUN,0.0,10.11714599997294
GUK1,0.0,10.111810934248401
PRR13,0.0,10.109065312518817
CALM1,0.0,10.108290297942094
EIF3G,0.0,10.107318856634926
COX6A1,0.0,10.10705785408921
TUBA1B,0.0,10.100654510181549
LIMD2,0.0,10.093143137856517
NEDD8,0.0,10.083579414710547
CD44,0.0,10.077077600893118
CD7,0.0,10.073003343895001
ATP6V1G1,0.0,10.068328415810491
EIF3H,0.0,10.061353304887582
PARK7,0.0,10.060312292827415
IL2RG,0.0,10.050853394394325
SKP1,0.0,10.03028692396115
ARL6IP5,0.0,10.027868239791033
C19orf43,0.0,10.024447107881025
SAP18,0.0,10.021134712088644
VAMP2,0.0,10.018585057178225
PGK1,0.0,10.013412472136388
PCBP1,0.0,10.011528235058835
RAC2,0.0,10.010777170921905
SH3BGRL,0.0,9.999316176696459
HSPA8,0.0,9.9964921725944
HNRNPA0,0.0,9.983197243909814
C11orf31,0.0,9.981282069393664
S100A4,0.0,9.979984049676126
UQCRH,0.0,9.97695513326298
ARF1,0.0,9.974527109486086
PTPRC,0.0,9.959803431730458
ATP5O,0.0,9.956903601836872
NDUFA13,0.0,9.953357326528563
PYCARD,0.0,9.938996141231442
PSMB1,0.0,9.934944277555575
EIF4A1,0.0,9.933483259345497
C1orf162,0.0,9.922619589936671
TRAPPC1,0.0,9.910793963642561
UBL5,0.0,9.88870134046262
EDF1,0.0,9.865760492036054
RGS10,0.0,9.85894021798372
COX6C,0.0,9.857148259019901
PKM,0.0,9.853761194911348
TMEM123,0.0,9.828399230735805
ANP32B,0.0,9.819701748299039
CD69,0.0,9.818206418715675
CCND3,0.0,9.80004320209582
EIF3F,0.0,9.790295057625228
H2AFZ,0.0,9.789827432475596
CAP1,0.0,9.783181095978067
UBE2D2,0.0,9.773613536164069
NDUFB9,0.0,9.772434157751093
COPE,0.0,9.77047157614782
CUTA,0.0,9.76707828932534
ATP5G3,0.0,9.766886437140755
GPSM3,0.0,9.756323453675552
COX7A2L,0.0,9.745444677252225
MCL1,0.0,9.724135966434423
ICAM3,0.0,9.708661563508645
EID1,0.0,9.704531161127957
U2AF1,0.0,9.697813552467755
S100A6,0.0,9.67976031283227
JTB,0.0,9.65687710717558
ATP5A1,0.0,9.65266741574604
C19orf53,0.0,9.643436369376465
CTSW,0.0,9.639826337825724
UXT,0.0,9.637293814206966
TALDO1,0.0,9.624614856797075
TKT,0.0,9.618414216035996
ISCU,0.0,9.61797970552498
ALDOA,0.0,9.609813658436087
RHOG,0.0,9.589681042059736
TMA7,0.0,9.583556302402648
PTGES3,0.0,9.57497777743979
NDUFA11,0.0,9.571492052170546
ACTR3,0.0,9.57016838016154
MT-ATP6,0.0,9.568636274281982
PPP1R15A,0.0,9.565673017414717
ATP5B,0.0,9.563296612390161
GMFG,0.0,9.562928406828195
SF3B5,0.0,9.55452925113777
CD48,0.0,9.550595119151977
MIF,0.0,9.550519305553301
NBEAL1,0.0,9.546681333921601
CRIP1,0.0,9.523733261569632
TIMP1,0.0,9.523594220252644
MORF4L1,0.0,9.52052786163831
CIB1,0.0,9.511079644084594
COX7A2,0.0,9.50630663544874
SRSF2,0.0,9.502501691768591
NDUFB11,0.0,9.497861194963685
CNBP,0.0,9.496133929208476
EIF3D,0.0,9.48487218569984
ATP5L,0.0,9.479700980809314
H3F3A,0.0,9.477718148237695
COX7C,0.0,9.470984444873745
LCK,0.0,9.458822558560728
C10orf54,0.0,9.458205668300096
HNRNPC,0.0,9.453711049541884
NDUFS5,0.0,9.447495902248923
CSTB,0.0,9.430878116793867
MYL12B,0.0,9.423676987891177
NDUFB8-1,0.0,9.421344369958739
LCP1,0.0,9.41248119951973
CD63,0.0,9.403382352295049
GLRX,0.0,9.39722835543946
TMEM59,0.0,9.394809705970205
SPCS1,0.0,9.37503840912211
ST13,0.0,9.373332233982579
CIRBP,0.0,9.37011425459039
PEBP1,0.0,9.358451160192708
PNISR,0.0,9.343663952040709
FYB,0.0,9.339772691058094
COX8A,0.0,9.339061315702127
EMP3,0.0,9.31696320106986
SMDT1,0.0,9.314410435445552
ARPC1B,0.0,9.314111612368439
MZT2B,0.0,9.309672751773748
BIN2,0.0,9.292253357535193
NHP2L1,0.0,9.28940690507955
EIF3E,0.0,9.286306302317161
AP2S1,0.0,9.285461664561971
CEBPB,0.0,9.272372320909335
TRMT112,0.0,9.26786056949036
C11orf58,0.0,9.257974651201353
ATP6V1F,0.0,9.256833472416528
SERPINB1,0.0,9.239473502883426
BTG2,0.0,9.238981385196062
CHCHD2,0.0,9.216688440437832
HCLS1,0.0,9.206666544182742
CMPK1,0.0,9.203351092324322
RPSAP58,0.0,9.19632409705021
HNRNPF,0.0,9.196068608691293
PSMB3,0.0,9.194877532371256
RAP1B,0.0,9.182453969690036
TMEM66,0.0,9.16705360339532
SYF2,0.0,9.164973480131035
UFC1,0.0,9.138266599164169
FXYD5,0.0,9.12849716620661
CDC42,0.0,9.125663358488582
C1QBP,0.0,9.11480973864772
C9orf16,0.0,9.10140887145783
GHITM,0.0,9.097914562410663
MT2A,0.0,9.096109892099864
SRSF5,0.0,9.081391399400793
C4orf3,0.0,9.074340791063717
CALM3,0.0,9.072875242689596
DAD1,0.0,9.06586368856092
GABARAPL2,0.0,9.054503133441784
ATP5F1,0.0,9.041126399881406
TSC22D3,0.0,9.035566045384801
PSME1,0.0,9.024823498315438
ATP6V0B,0.0,9.02068440007481
YWHAZ,0.0,9.012474890270571
POLR2L,0.0,9.012334740884578
DBI,0.0,9.006518255328821
ATP5H,0.0,8.998904595795736
RBM39,0.0,8.997010826254295
PRDX5,0.0,8.995877616059248
CD2,0.0,8.991490777506227
PLP2,0.0,8.988258648719427
LRRFIP1,0.0,8.979258199564095
PSMB10,0.0,8.948683171235624
SEPT7,0.0,8.931500226609908
EIF3K,0.0,8.916569150086048
CD37,0.0,8.913564962571554
CCDC85B,0.0,8.913101927631798
VIM,0.0,8.908290150604822
POLD4,0.0,8.903553335290145
CD74,0.0,8.895046887563991
VPS28,0.0,8.87701410182843
NDUFB2,0.0,8.873450328945896
DYNLL1,0.0,8.873424600605226
AP1S2,0.0,8.871705623655926
UBE2L6,0.0,8.864931033162213
ARF6,0.0,8.857100053811939
LAMTOR1,0.0,8.855861170717052
COX5A,0.0,8.852589500451309
WDR83OS,0.0,8.847972569940852
CYTIP,0.0,8.8296164654752
CNN2,0.0,8.80906132705402
EIF3M,0.0,8.780893655150946
CD164,0.0,8.765268240812071
SERBP1,0.0,8.762692944919966
STK17A,0.0,8.759863682506202
PPIA,0.0,8.749333585245289
SNRPB,0.0,8.744519145138895
UQCR10,0.0,8.733403324624877
TXNIP,0.0,8.727326550673958
PDIA3,0.0,8.722681657741802
YPEL5,0.0,8.703533117466097
ATP5E,0.0,8.695554659240683
ERH,0.0,8.686151364638146
UBE2I,0.0,8.681148501504367
RPL36AL,0.0,8.671112998931672
HMGB2,0.0,8.659343970602583
CSNK2B,0.0,8.656640197399339
SEPT9,0.0,8.644770087227286
SSU72,0.0,8.633334102207991
SEC11A,0.0,8.624511470130246
HLA-F,0.0,8.613769898631723
GIMAP1,0.0,8.606565238662617
DAZAP2,0.0,8.590504725878612
NDUFB10,0.0,8.578040017447625
CD79B,0.0,8.565894126748756
SRP9,0.0,8.54876393960639
EVI2B,0.0,8.542509168175046
RSL1D1,0.0,8.535752294088434
FIS1,0.0,8.531307789011544
LGALS2,0.0,8.528939670429825
ATP5J2,0.0,8.50797619295722
NDUFA1,0.0,8.500915870205487
CCDC109B,0.0,8.491542146154154
NDFIP1,0.0,8.48596200834037
SEC61B,0.0,8.453042034262344
RABAC1,0.0,8.435720527980175
TMEM258,0.0,8.43295258293509
LITAF,0.0,8.431788923192812
ANXA5,0.0,8.419980455869787
DHRS7,0.0,8.41936435587919
HNRNPA3,0.0,8.41720779940344
ACAP1,0.0,8.389757479778165
BLOC1S1,0.0,8.383282459105526
CASP4,0.0,8.38191436673239
UBB,0.0,8.380323820118104
HLA-DMA,0.0,8.380146998832407
TUBB,0.0,8.366737045172668
RGS2,0.0,8.35485823043869
SON,0.0,8.347422976347591
C12orf57,0.0,8.338648146409248
CYCS,0.0,8.336980901717961
HNRNPM,0.0,8.32219510932823
RAP1A,0.0,8.319734185693756
SUB1,0.0,8.317137537839496
PAIP2,0.0,8.312447956901046
OSTF1,0.0,8.304473973498817
XRCC6,0.0,8.304146843876929
PPA1,0.0,8.299683285149566
EIF4G2,0.0,8.29750455072303
HLA-DQB1,0.0,8.292198596847777
RBMX,0.0,8.28707712954607
ZNF706,0.0,8.286476808069114
ATPIF1,0.0,8.281309528587354
EIF3I,0.0,8.278465420213674
ARPC4,0.0,8.271373137096601
CHMP4A,0.0,8.270597505608709
TBC1D10C,0.0,8.269676049542664
H2AFY,0.0,8.267309067075994
SF1,0.0,8.264112828940284
PSMB7,0.0,8.258805597991145
PRDX1,0.0,8.258425743821878
RBM8A,0.0,8.258117831044796
FKBP8,0.0,8.25776164576855
RNH1,0.0,8.236506021903713
RAB7A,0.0,8.234777702678027
FAM65B,0.0,8.23313809845245
TOMM7,0.0,8.226108859744226
ENSA,0.0,8.22143797263101
C20orf24,0.0,8.20146776479512
C14orf166,0.0,8.193266245776611
AP2M1,0.0,8.189051211051178
ANXA6,0.0,8.183687617802065
GDI2,0.0,8.179906292682428
NOP10,0.0,8.176532226464333
CFD,0.0,8.17236342059471
GNLY,0.0,8.167547293351586
PGLS,0.0,8.166199297436842
PTPN6,0.0,8.158007476890814
SRSF9,0.0,8.157979946380182
DNAJB1,0.0,8.148414340522649
IFITM3,0.0,8.148237015134226
FAM49B,0.0,8.143542645651875
ATP5C1,0.0,8.118869427644734
HLA-DQA1,0.0,8.11658490668037
CARD16,0.0,8.112331356362617
TMEM230,0.0,8.111892839423506
KRTCAP2,0.0,8.109537303885784
GYPC,0.0,8.10488245940603
SPCS2,0.0,8.093773418689624
GSTO1,0.0,8.090453979988519
TBCB,0.0,8.074742222584751
BAX,0.0,8.074103856481253
SERPINA1,0.0,8.073421131033713
GIMAP5,0.0,8.072060430208488
XBP1,0.0,8.070007484827789
CD247,0.0,8.05998293065573
CSDE1,0.0,8.05248287532312
ITM2B,0.0,8.052480001306982
SCAND1,0.0,8.048544381818953
IRF1,0.0,8.035966716443456
ARF5,0.0,8.02161629175228
MDH2,0.0,8.019503356461433
LGALS3,0.0,8.018808568311007
SUPT4H1,0.0,8.016591114429678
GNAS,0.0,8.010821565295206
SRP14,0.0,8.008827753096067
LINC00936,0.0,8.001886835273702
ARPC2,0.0,7.997798572550285
GNG5,0.0,7.994234501976903
LAPTM5,0.0,7.983134352552641
RPL39,0.0,7.977495424158314
GZMA,0.0,7.976165966724143
POLR1D,0.0,7.969741742009843
ANKRD12,0.0,7.966818425632846
SELT,0.0,7.964562725063746
PRDX2,0.0,7.94704842809744
YWHAQ,0.0,7.93972797309651
TMBIM4-1,0.0,7.938592009004659
C9orf78,0.0,7.938580744316529
CLTA,0.0,7.937023959718399
DNAJA1,0.0,7.927728295333239
RBX1,0.0,7.923801367561386
UQCRQ,0.0,7.92239901753858
ATP5J,0.0,7.916390143557361
ATP5I,0.0,7.911616616745748
SELK,0.0,7.9103466919564
IGBP1,0.0,7.902895784218255
CNPY3,0.0,7.902742910489433
PSMD8,0.0,7.900563089894464
SEP15,0.0,7.899720190175307
NDUFS7,0.0,7.893579881278649
ARHGDIA,0.0,7.881567366607964
VAPA,0.0,7.878358745932807
PPP1R18,0.0,7.8770798378109985
TBCA,0.0,7.860727198097642
MRPL23,0.0,7.8436421871653685
PPP4C,0.0,7.83748983362467
PDCD6,0.0,7.835418299622872
AURKAIP1,0.0,7.834794220144172
CASP1,0.0,7.827578342137783
PSMC5,0.0,7.820968153559937
CORO1A,0.0,7.817520376676535
FUS,0.0,7.8144023120393715
PRDX6,0.0,7.803687776697734
CST7,0.0,7.799496432645017
ARHGAP15,0.0,7.785663897119288
VDAC2,0.0,7.780172871794232
NDUFB7,0.0,7.779999520673013
DYNLRB1,0.0,7.776559282238316
DUSP2,0.0,7.773536523583863
ABRACL,0.0,7.773036898029219
RANBP1,0.0,7.767624880454778
SP110,0.0,7.76618761221777
MSN,0.0,7.7649148436239805
CTSC,0.0,7.757367584855495
CALR,0.0,7.755823697535843
PPP1R2,0.0,7.7360870451405095
ARPC3,0.0,7.730382731188103
TRA2B,0.0,7.729991624846049
TMEM219,0.0,7.71274740242528
PYURF,0.0,7.709546530544639
ATP5EP2,0.0,7.697940894874362
VASP,0.0,7.692986360635951
PSMD4,0.0,7.689059051916479
AHNAK,0.0,7.688955813619899
FBL,0.0,7.687745017233263
NCOR1,0.0,7.686750616937021
GZMM,0.0,7.680460954386692
GRN,0.0,7.67996079187536
BCAP31,0.0,7.672225195342701
UQCRFS1,0.0,7.668596646979754
IFI44L,0.0,7.665578876329227
LAMTOR5,0.0,7.661588012994955
SNHG7,0.0,7.644639137961159
NDUFV2,0.0,7.643052948256755
DDX5,0.0,7.630616277779533
EIF5,0.0,7.6303519700971565
C19orf60,0.0,7.625586866217005
SUMO1,0.0,7.606646252792065
UQCRC2,0.0,7.603062202805248
RAB5C,0.0,7.590641199585472
YBX1,0.0,7.58459645707487
RPL22,0.0,7.584326365907462
SP100,0.0,7.5799144895621
HSD17B11,0.0,7.577879861808813
PSMB6,0.0,7.570068035135742
SCP2,0.0,7.551870132718618
AMICA1,0.0,7.545784620374716
MTDH,0.0,7.54163720387212
ZNHIT1,0.0,7.531932834466747
PPDPF,0.0,7.518367777867444
NPM1,0.0,7.518335357417268
ATRAID,0.0,7.502744189443386
STXBP2,0.0,7.501141451981524
CD68,0.0,7.495845394406615
SLC2A3,0.0,7.4814593096414
TMEM50A,0.0,7.478946316953219
RGS19,0.0,7.477092816733045
MEAF6,0.0,7.472244606306923
TMED2,0.0,7.470411878322237
LSM7,0.0,7.466886309579118
CYBA,0.0,7.455520152409616
EIF2S2,0.0,7.4554959437430535
TOMM20,0.0,7.4554343920182
ANXA11,0.0,7.439633728710984
LEPROTL1,0.0,7.429781844654411
MZT2A,0.0,7.428197524035166
TAPBP,0.0,7.425570368867051
DUT,0.0,7.413657438029671
ECH1,0.0,7.412024592419253
CCNL1,0.0,7.409602556333619
RHOH,0.0,7.409084247315988
S1PR4,0.0,7.40309147980445
FAM96B,0.0,7.3966620501579525
REEP5,0.0,7.3900262608706155
MINOS1,0.0,7.388163306533108
CHMP1B,0.0,7.3875969602207405
WDR1,0.0,7.385684537853638
ASAH1,0.0,7.379553990358843
PSMA5,0.0,7.374952786193274
GAPDH,0.0,7.372515584232522
PIK3IP1,0.0,7.367422959742302
ARRB2,0.0,7.364519862265015
SRI,0.0,7.364341605677068
TUBA4A,0.0,7.36133490683328
GNB2,0.0,7.347128597214156
ATP5G2,0.0,7.345570937476155
GADD45GIP1,0.0,7.343536304875947
TNFAIP8,0.0,7.333905952158231
PCNP,0.0,7.331691223843936
CHMP2A,0.0,7.322643684837067
CEBPD,0.0,7.316911969769252
CTSD,0.0,7.301273195437308
NDUFA2,0.0,7.289832724679625
NDUFB4,0.0,7.287124582571334
BIN1,0.0,7.274720535508586
SNHG8,0.0,7.267477548085688
ALOX5AP,0.0,7.2557818397992575
SUN2,0.0,7.255214841244665
H2AFV,0.0,7.248718238754036
RWDD1,0.0,7.241314274948649
PPP2R5C,0.0,7.2354612124995565
SEPW1,0.0,7.235288456192008
METTL9,0.0,7.223367505822804
CD27,0.0,7.222597978865268
FCGR3A,0.0,7.220127685757547
LMAN2,0.0,7.218775723894037
ERGIC3,0.0,7.196959964537371
TMED9,0.0,7.188390259017062
TCF25,0.0,7.174062470376132
IDS,0.0,7.1647663396538706
MRPL20,0.0,7.16202048920478
BUD31,0.0,7.157767459798056
NDUFC2,0.0,7.155330993271835
C9orf142,0.0,7.153502409232522
SLC25A6,0.0,7.149697159466005
POLR2J,0.0,7.147133290261676
HSP90B1,0.0,7.144351389096614
FCGRT,0.0,7.1351830146758095
GLTSCR2,0.0,7.134634115696848
CD47,0.0,7.1205323816159565
DOK2,0.0,7.114996953269044
LSM4,0.0,7.10752012057065
RASGRP2,0.0,7.104652461530482
ZFP36L1,0.0,7.104383034271387
BSG,0.0,7.103112138754484
FAM26F,0.0,7.101677420220111
SPI1,0.0,7.099419171402858
CCDC12,0.0,7.095413497542627
TOMM22,0.0,7.091365379064899
MAP1LC3B,0.0,7.078667987678636
ATP6AP2,0.0,7.0498453033338295
HNRNPU,0.0,7.046393613627997
EEF1G,0.0,7.045067345182796
SDCBP,0.0,7.042456680004336
RGCC,0.0,7.04031599666483
POLR2G,0.0,7.0383423338922
PSMA1,0.0,7.036277088595166
KRT10,0.0,7.03398789769923
RNF7,0.0,7.0291731048318695
MYO1F,0.0,7.028686253332654
RPS19BP1,0.0,7.006887023167441
ANAPC11,0.0,7.001868563567535
KMT2E,0.0,7.000342288305138
SRSF11,0.0,6.999200177913583
SSBP1,0.0,6.993884236149291
ICAM2,0.0,6.99272292103979
BANF1,0.0,6.982906990287535
CD79A,0.0,6.982112785709848
SAMHD1,0.0,6.973235649639225
HN1,0.0,6.960732416371157
KHDRBS1,0.0,6.94750797269804
CITED2,0.0,6.943887575818437
EEF2,0.0,6.942395643639148
SEPT1,0.0,6.938713783078487
PA2G4,0.0,6.9384282697606325
ATF4,0.0,6.938175787110999
CAPG,0.0,6.9323654759295135
XRCC5,0.0,6.930664007192544
GADD45B,0.0,6.928716921691957
ARHGEF1,0.0,6.921441243417494
APEX1,0.0,6.916183535167455
RNPS1,0.0,6.908140653063555
NCL,0.0,6.905007784431398
TUFM,0.0,6.90378924359666
PTP4A2,0.0,6.902747036895399
RTN4,0.0,6.902012800860309
MRFAP1,0.0,6.898671494334738
DDX24,0.0,6.886850171364819
NHP2,0.0,6.882377817404223
CFP,0.0,6.879791582605525
NDUFS8,0.0,6.874930327530269
HMGN3,0.0,6.874526553648195
TMEM14B,0.0,6.869872977942364
P4HB,0.0,6.865513820453703
DGUOK,0.0,6.860462209031508
CELF2,0.0,6.858205860649057
DBNL,0.0,6.857817042139549
PDIA6,0.0,6.855134884706857
TCF7,0.0,6.853130974402092
SH3BGRL3,0.0,6.840449241433482
EIF4B,0.0,6.833729798512148
ACP1,0.0,6.830595631194399
MYO1G,0.0,6.819142669845291
CD3G,0.0,6.803098643809291
PPP1CC,0.0,6.790696109755036
OCIAD2,0.0,6.786421711991331
UBE2L3,0.0,6.776226905845409
CDC42SE2,0.0,6.775590805880268
PGAM1,0.0,6.77530630990625
PSMA2-1,0.0,6.77072048722636
TAPSAR1,0.0,6.767624801806797
TAP1,0.0,6.763419965457468
STUB1,0.0,6.762852969421116
TSTD1,0.0,6.758607568162685
MYL6,0.0,6.755570570348134
DDIT4,0.0,6.748766682768294
MED10,0.0,6.745218114959053
LAT,0.0,6.741589534935566
SSB,0.0,6.7412173047361375
ALKBH7,0.0,6.737567382241434
GNAI2,0.0,6.736829807830045
MDH1,0.0,6.724308064222428
MRPS21,0.0,6.717449496552887
NDUFS6,0.0,6.706842071192775
TERF2IP,0.0,6.698689393392114
RNF213,0.0,6.696545580028655
VAMP5,0.0,6.694266545791294
NDUFA3,0.0,6.687366720881911
SHISA5,0.0,6.685206731209377
ACTG1,0.0,6.676069792097585
DEK,0.0,6.671882881952075
IK,0.0,6.671263245247314
CDKN2D,0.0,6.665879065567374
DCTN3,0.0,6.6567584760272185
MYEOV2,0.0,6.647350646631158
TAF7,0.0,6.6452288803370045
CD97,0.0,6.640515243071511
CDC37,0.0,6.638329545959878
LAMTOR2,0.0,6.637468727239039
UBC,0.0,6.634713961871906
HMHA1,0.0,6.626408567422411
APOBEC3G,0.0,6.621700884722218
FMNL1,0.0,6.613080831954556
FGR,0.0,6.611008175352989
SEC62,0.0,6.6087497931499755
MAF1,0.0,6.602276639140559
GLIPR2,0.0,6.600017318711844
EIF4H,0.0,6.590875153968906
CAMLG,0.0,6.585519294368704
MRPL54,0.0,6.583394166144423
RPN2,0.0,6.577426876807708
RALY,0.0,6.571836148905261
EIF6,0.0,6.570497741011286
PRMT2,0.0,6.564258211469079
MX1,0.0,6.56267502904159
SIGIRR,0.0,6.5593718123402835
NSA2,0.0,6.555184680505457
NOL7,0.0,6.553340420636936
SIVA1,0.0,6.5490694688079065
RER1,0.0,6.545018701393763
TNFSF10,0.0,6.542974288633122
C1orf43,0.0,6.542210577647897
RPS27L,0.0,6.541910571329758
CHCHD10,0.0,6.5403366694319365
BTN3A2,0.0,6.530609864789698
TCEA1,0.0,6.527535073603502
PCMT1,0.0,6.519418990996583
FAIM3,0.0,6.510301955140425
CCT8,0.0,6.508216867283764
PAPOLA,0.0,6.507269897316723
SSNA1,0.0,6.493180335225908
RCSD1,0.0,6.483058730328468
M6PR,0.0,6.48185889284417
BRI3,0.0,6.475533983851166
SPOCK2,0.0,6.475250725549141
LAPTM4A,0.0,6.4745806952912215
CAPN2,0.0,6.473484935799468
NDUFA12,0.0,6.468592279838005
ANXA7,0.0,6.4674865117555305
SNX17,0.0,6.461457972196515
C19orf70,0.0,6.458732775436947
CSK,0.0,6.457828162368813
PABPC1,0.0,6.44968582161777
CDC42SE1,0.0,6.448706964655882
DNAJC8,0.0,6.446800374658659
NDUFAF3,0.0,6.442857874725001
RPL23,0.0,6.442342055898801
MBNL1,0.0,6.441121836514354
FLNA,0.0,6.431055921861459
SNX2,0.0,6.4191143739547885
RAB8A,0.0,6.415539424428092
IMP3,0.0,6.41479838801222
C19orf10,0.0,6.413236103590873
DPP7,0.0,6.3985920671842615
CLNS1A,0.0,6.395115143073945
TNFRSF14,0.0,6.390682082077276
MPHOSPH8,0.0,6.390090836118312
SERF2,0.0,6.381911486088312
RNF181,0.0,6.381348696221264
CKLF,0.0,6.381236178669747
BUB3,0.0,6.374619147330771
PRF1,0.0,6.374021109706374
BAZ1A,0.0,6.3649117227120575
CHMP5,0.0,6.362690490955604
XAF1,0.0,6.346551142434573
IL10RA,0.0,6.342091438825359
SNRPD1,0.0,6.340831414982981
WAS,0.0,6.332954959049846
NUDC,0.0,6.328104095663856
TECR,0.0,6.321117165117776
SDHB,0.0,6.317846167645016
HSPE1,0.0,6.302212017551753
PHB,0.0,6.301450457272709
HERPUD1,0.0,6.292204970485685
MGST3,0.0,6.2904499465368335
EIF2S3,0.0,6.290073048409649
PSMB2,0.0,6.287903433383946
STK4,0.0,6.278272381279554
SUMO3,0.0,6.267740980854159
ARL4C,0.0,6.265708961123769
SDHC,0.0,6.263343596052631
LSM10,0.0,6.262276813724889
