Gene1,Gene2
Btaf1,Arnt2
Btaf1,Mycn
Btaf1,Wbp11
Btaf1,Srsf3
Btaf1,Hoxd13
Btaf1,Esrra
Btaf1,Hdac5
Btaf1,Hspg2
Btaf1,Zfp592
Btaf1,Ep300
Btaf1,Amotl2
Btaf1,Tubb6
Btaf1,Gabarapl2
Btaf1,Rybp
Btaf1,Zfp398
Btaf1,Mdm2
Btaf1,Plagl2
Btaf1,Ezh2
Btaf1,Nfx1
Btaf1,Dnajc10
Btaf1,Zfp768
Btaf1,Txndc5
Btaf1,Hdgf
Btaf1,Gnpda1
Btaf1,Phb2
Btaf1,Taf9
Btaf1,Hdlbp
Btaf1,F3
Btaf1,Cnot7
Btaf1,Pias1
Btaf1,Me1
Btaf1,Tyro3
Btaf1,Bcl3
Btaf1,Msh6
Btaf1,Myo6
Btaf1,Ctbp1
Btaf1,Eed
Btaf1,Zfand3
Btaf1,Brwd1
Btaf1,Mme
Btaf1,Adam23
Btaf1,Ncoa3
Btaf1,Mllt1
Btaf1,Igfbp2
Btaf1,Trps1
Btaf1,Patz1
Btaf1,Tnfaip3
Btaf1,Dr1
Btaf1,Efemp2
Btaf1,Tnk2
Btaf1,Ssbp4
Btaf1,Ldb1
Btaf1,Zbtb24
Btaf1,Rara
Btaf1,Hdac2
Btaf1,Dazap2
Btaf1,Pdcd4
Btaf1,Tet2
Btaf1,Tcf12
Btaf1,Pura
Btaf1,Pias3
Btaf1,Mras
Btaf1,Kdelr2
Btaf1,Lamb2
Btaf1,Timp2
Btaf1,Tcf7
Btaf1,Ilk
Btaf1,Coil
Btaf1,Elavl2
Btaf1,Rrm2
Btaf1,Rfxap
Btaf1,Phf14
Btaf1,Tbx3
Btaf1,Srm
Btaf1,Kit
Btaf1,Ankrd54
Btaf1,Plod2
Btaf1,Ctcf
Btaf1,Aip
Btaf1,Hmgb2
Btaf1,Klf3
Btaf1,Rai14
Btaf1,Grhl1
Btaf1,Glipr2
Btaf1,Nfya
Btaf1,Lama5
Btaf1,Jdp2
Btaf1,Hes1
Btaf1,Brpf1
Btaf1,Gbx2
Btaf1,Grin1
Btaf1,Apex1
Btaf1,Zfyve21
Btaf1,Rere
Btaf1,Prrx2
Btaf1,Eomes
Btaf1,Rbbp4
Btaf1,Rasgrp2
Btaf1,Erp29
Btaf1,Scmh1
Btaf1,Klf15
Btaf1,Hdac4
Btaf1,Ankrd6
Btaf1,Rad51
Btaf1,Htt
Btaf1,Rnf157
Btaf1,Smarcc2
Btaf1,Hsf2
Btaf1,Mt2
Btaf1,Ckap4
Btaf1,Smurf2
Btaf1,Ints12
Btaf1,Tcf4
Btaf1,Smad3
Btaf1,Arhgef40
Btaf1,Hspb1
Btaf1,Pms1
Btaf1,Rbpms2
Btaf1,Dmrt1
Btaf1,Klf4
Btaf1,Bcam
Btaf1,Fxr1
Btaf1,Ptpn14
Btaf1,Rnf6
Btaf1,Uchl1
Btaf1,Soat1
Btaf1,Plod3
Btaf1,Pitx1
Btaf1,Cops2
Btaf1,Ddx20
Btaf1,Pmm1
Btaf1,Fn1
Btaf1,Cry1
Btaf1,Krba1
Btaf1,Rcor2
Btaf1,Mapk11
Btaf1,Emx2
Btaf1,Btg1
Btaf1,Ndrg1
Btaf1,Btg2
Btaf1,Etv4
Btaf1,Rest
Btaf1,Zfp57
Btaf1,Naa15
Btaf1,Epha2
Btaf1,Khdc3
Btaf1,Zhx3
Btaf1,Srsf1
Btaf1,Tcea3
Btaf1,Pknox2
Btaf1,Csf1
Btaf1,Ets1
Btaf1,Sox2
Btaf1,Chchd10
Btaf1,Ilf3
Btaf1,Skil
Btaf1,Thrap3
Btaf1,Gabbr1
Btaf1,Papola
Btaf1,Nfyb
Btaf1,Zfp91
Btaf1,Cnot2
Btaf1,Parvb
Btaf1,Cnot8
Btaf1,Elf2
Btaf1,Smarcb1
Btaf1,Tmed2
Btaf1,Preb
Btaf1,Klf9
Btaf1,Hnrnpk
Btaf1,Npas2
Btaf1,Khdrbs1
Btaf1,Rarg
Btaf1,Mapk3
Btaf1,Zmym2
Btaf1,Pax1
Btaf1,Arntl
Btaf1,Sdc4
Btaf1,Tfeb
Btaf1,Tgfb1
Btaf1,Mxd4
Btaf1,Lrp2
Btaf1,Ubp1
Btaf1,Basp1
Btaf1,Rb1
Btaf1,Vezf1
Btaf1,Mafk
Btaf1,Cemip
Btaf1,Rrbp1
Btaf1,Rbmxl2
Btaf1,Zbtb10
Btaf1,Rcc2
Btaf1,Zmynd11
Btaf1,Nrip1
Btaf1,Lhx2
Btaf1,Abtb1
Btaf1,Sos2
Btaf1,Pax6
Btaf1,Serpine2
Btaf1,Dnajc2
Btaf1,Zeb2
Btaf1,Ebf1
Btaf1,Stard10
Btaf1,Anks1
Btaf1,Hsbp1
Btaf1,Fgf3
Btaf1,Ssr3
Btaf1,Sap30
Btaf1,Jund
Btaf1,Alg13
Btaf1,Uhrf1
Btaf1,Impdh1
Btaf1,Tbx18
Btaf1,Sall1
Btaf1,Srebf1
Btaf1,Plag1
Btaf1,Hey2
Btaf1,Bard1
Btaf1,Trrap
Btaf1,Runx1
Btaf1,Cbx6
Btaf1,Mapk8
Btaf1,Zfp236
Btaf1,Etv6
Btaf1,Lrrk1
Btaf1,Ddx54
Btaf1,Ddb1
Btaf1,Phldb2
Btaf1,Atf2
Btaf1,Hdac11
Btaf1,Mlxipl
Btaf1,Socs2
Btaf1,Tead3
Btaf1,Mapk13
Btaf1,Myh9
Btaf1,Cotl1
Btaf1,Smad2
Btaf1,Irf2
Btaf1,Mbd2
Btaf1,Glul
Btaf1,Cenpb
Btaf1,Erf
Btaf1,Hnrnpd
Btaf1,Htra1
Btaf1,Anxa2
Btaf1,Chd4
Btaf1,Sri
Btaf1,Bend5
Btaf1,Hdac7
Btaf1,Kank2
Btaf1,Chd5
Btaf1,Fst
Btaf1,Spry2
Btaf1,Zeb1
Btaf1,Eya1
Btaf1,Egr1
Btaf1,Obsl1
Btaf1,Pdia6
Btaf1,Msc
Btaf1,Ung
Btaf1,Hes6
Btaf1,Utf1
Btaf1,Ecd
Btaf1,Ercc8
Btaf1,Lmo4
Btaf1,Tle1
Btaf1,Prdm1
Btaf1,Phf2
Btaf1,Chst15
Btaf1,Notum
Btaf1,Csrp2
Btaf1,Nfil3
Btaf1,Ctbp2
Btaf1,Nfib
Btaf1,Phf12
Btaf1,Wwtr1
Btaf1,Agap3
Btaf1,Bcat1
Btaf1,Phf1
Btaf1,Spen
Btaf1,Meis1
Btaf1,Trim25
Btaf1,Nfxl1
Btaf1,Klf10
Btaf1,App
Btaf1,Ubqln2
Btaf1,Cdc20
Btaf1,Gli2
Btaf1,Rbm14
Btaf1,Hsph1
Btaf1,Fhl2
Btaf1,Irf6
Btaf1,Cic
Btaf1,Pltp
Btaf1,Id4
Btaf1,Akt1
Btaf1,Fosl2
Btaf1,Bin1
Btaf1,Tox3
Btaf1,Bmper
Btaf1,Mphosph8
Btaf1,Pawr
Btaf1,Jarid2
Btaf1,Ikbkb
Btaf1,Crip2
Btaf1,Ddx5
Btaf1,Loxl2
Btaf1,Ass1
Btaf1,Six5
Btaf1,Ing1
Btaf1,Hdac3
Btaf1,Manf
Btaf1,Ovol1
Btaf1,Nfatc4
Btaf1,Pfkp
Btaf1,Snai1
Btaf1,Gli1
Btaf1,Spock1
Btaf1,Ctsz
Btaf1,Maz
Btaf1,Nkrf
Btaf1,Barx1
Btaf1,Sox7
Btaf1,Ing3
Btaf1,Clcn5
Btaf1,Cbx4
Btaf1,Tbpl1
Btaf1,Sox4
Btaf1,Tgif1
Btaf1,Sgk1
Btaf1,Esrrb
Btaf1,Kdelr3
Btaf1,Mitf
Btaf1,Snapc3
Btaf1,Eps8
Btaf1,Crabp2
Btaf1,Smad7
Btaf1,Grb10
Btaf1,Rbbp7
Btaf1,Nme2
Btaf1,Ccn2
Btaf1,Tcf20
Btaf1,Sirt2
Btaf1,Pitx2
Btaf1,Zdhhc15
Btaf1,Vegfa
Btaf1,Dcxr
Btaf1,Pbx4
Btaf1,Tenm4
Btaf1,Twist1
Btaf1,Hmga2
Btaf1,Fgf10
Btaf1,Snd1
Btaf1,Spry4
Btaf1,Zfp423
Btaf1,Elk1
Btaf1,Foxq1
Btaf1,Gas6
Btaf1,Sall4
Btaf1,Nrg1
Btaf1,Six1
Btaf1,Jun
Btaf1,Ehmt2
Btaf1,Med15
Btaf1,Ubtf
Btaf1,Commd3
Btaf1,Daxx
Btaf1,Gata3
Btaf1,Rlim
Btaf1,Foxo1
Btaf1,Gzf1
Btaf1,Trib3
Btaf1,Zfpm1
Btaf1,Ltbp4
Btaf1,Bmp6
Btaf1,Hopx
Btaf1,D230025D16Rik
Btaf1,Zdhhc16
Btaf1,Bmi1
Btaf1,Fgfr3
Btaf1,Nsd1
Btaf1,Trh
Btaf1,Tshz3
Btaf1,Morc4
Btaf1,Adam19
Btaf1,Med4
Btaf1,Foxd3
Btaf1,Ndn
Btaf1,Hmga1
Btaf1,Timp3
Btaf1,Mcm3
Btaf1,Msx2
Btaf1,Btbd11
Btaf1,Ckb
Btaf1,Trip11
Btaf1,Med21
Btaf1,Sirt3
Btaf1,Tagln2
Btaf1,Plod1
Btaf1,Cbx8
Btaf1,Chd7
Btaf1,Ampd2
Btaf1,Emp2
Btaf1,Satb2
Btaf1,Klf13
Btaf1,Tada3
Btaf1,Mgst3
Btaf1,Atf3
Btaf1,Nfia
Btaf1,Men1
Btaf1,Pcbd1
Btaf1,Tfe3
Btaf1,Ccnb1
Btaf1,Ctsd
Btaf1,Upp1
Btaf1,Tfap4
Btaf1,Foxo3
Btaf1,Cst3
Btaf1,Nfatc1
Btaf1,Dtx1
Btaf1,Vsir
Btaf1,Gnas
Btaf1,Lmf2
Btaf1,Ruvbl1
Btaf1,Zfp296
Btaf1,Calu
Btaf1,Fxyd6
Btaf1,Foxa2
Btaf1,Cited1
Btaf1,Zfp275
Btaf1,Mcm7
Btaf1,Epas1
Btaf1,Sord
Btaf1,Ect2
Btaf1,Gjb3
Btaf1,Atf7
Btaf1,Hivep2
Btaf1,Ccng1
Btaf1,Ddit3
Btaf1,Pdcd11
Btaf1,Epha4
Btaf1,Klf6
Btaf1,Jam2
Btaf1,Igf2
Btaf1,Spp1
Btaf1,Prox1
Btaf1,Peg3
Btaf1,Creb5
Btaf1,Gata4
Btaf1,Pdgfra
Btaf1,Ccnd1
Btaf1,Espl1
Btaf1,Ankrd49
Btaf1,Ctsa
Btaf1,Krt8
Btaf1,Txnip
Btaf1,Ctsl
Btaf1,Nfkb2
Btaf1,Meis3
Btaf1,Hspa5
Btaf1,Snurf
Btaf1,Rapgef3
Btaf1,Nfic
Btaf1,Kntc1
Btaf1,Serpinh1
Btaf1,Mcm4
Btaf1,Zic3
Btaf1,Taf6
Btaf1,Med12
Btaf1,Tox4
Btaf1,Fabp3
Btaf1,Dab2
Btaf1,Lamb1
Btaf1,Rfx5
Btaf1,Tinagl1
Btaf1,Tet1
Btaf1,Ifitm2
Btaf1,Calr
Btaf1,Trim32
Btaf1,Cmklr1
Btaf1,Irf3
Btaf1,Atm
Btaf1,Dusp9
Btaf1,2200002D01Rik
Btaf1,Per1
Btaf1,Zfp987
Btaf1,Celf3
Btaf1,Ilf2
Btaf1,Zfp462
Btaf1,Vim
Btaf1,Plrg1
Btaf1,Trp53
Btaf1,Mt1
Btaf1,Oplah
Btaf1,Nono
Btaf1,Anxa5
Btaf1,Sp8
Btaf1,Krt42
Btaf1,Ddb2
Btaf1,Dpp4
Btaf1,Shkbp1
Btaf1,Stard8
Btaf1,Frrs1
Btaf1,Stxbp2
Btaf1,Smarca2
Btaf1,Elf4
Btaf1,Cebpz
Btaf1,Thbd
Btaf1,Otx2
Btaf1,Med31
Btaf1,Ruvbl2
Btaf1,Mcm5
Btaf1,Mcm2
Btaf1,Nid1
Btaf1,Hcfc1
Btaf1,Abt1
Btaf1,Runx3
Btaf1,Ddah2
Btaf1,Mymx
Btaf1,Gpx3
Btaf1,Topors
Btaf1,Hip1
Btaf1,Ell3
Btaf1,Selenow
Cbx7,Bmp6
Cbx7,Ovol1
Cbx7,Zeb1
Cbx7,Fgf3
Cbx7,Htra1
Cbx7,Esrrb
Cbx7,Cux1
Cbx7,Creb5
Cbx7,Hopx
Cbx7,Maml3
Cbx7,Id4
Cbx7,Satb1
Cbx7,Grb10
Cbx7,Foxq1
Cbx7,Fgfr3
Cbx7,Npas2
Cbx7,Bmper
Cbx7,Chst15
Cbx7,Btbd11
Cbx7,Foxp1
Cbx7,Nfia
Cbx7,Csf1
Cbx7,Gas6
Cbx7,Dmrt1
Cbx7,Pax8
Cbx7,Gdpd5
Cbx7,Gnas
Cbx7,Irf4
Cbx7,Sox7
Cbx7,Thbd
Cbx7,Irf2
Cbx7,Hivep2
Cbx7,Hoxd13
Cbx7,Tox3
Cbx7,Zfpm1
Cbx7,Lrrk1
Cbx7,Cited1
Cbx7,App
Cbx7,Fst
Cbx7,Pknox2
Cbx7,Khdc3
Cbx7,Spock1
Cbx7,Vim
Cbx7,Hey2
Cbx7,Prrx2
Cbx7,Prdm14
Cbx7,Eomes
Cbx7,Podxl
Cbx7,Ebf4
Cbx7,Zbtb10
Cbx7,Dtx1
Cbx7,Mras
Cbx7,Fhl2
Cbx7,Twist1
Cbx7,Zeb2
Cbx7,Serpine2
Cbx7,Atf3
Cbx7,Mlxipl
Cbx7,Epas1
Cbx7,Sall1
Cbx7,Jdp2
Cbx7,Ebf1
Cbx7,Hmga2
Cbx7,Jun
Cbx7,Lrp2
Cbx7,Id3
Cbx7,Obsl1
Cbx7,Bmi1
Cbx7,Nrg1
Cbx7,Tbx18
Cbx7,Satb2
Cbx7,Sox4
Cbx7,Bin1
Cbx7,Phldb2
Cbx7,Fgf10
Cbx7,Tead4
Cbx7,Hdac7
Cbx7,Ptpn14
Cbx7,Tgfb1
Cbx7,Lhx2
Cbx7,Kdelr3
Cbx7,Igf2
Cbx7,Msc
Cbx7,Mkx
Cbx7,Ndn
Cbx7,Smarca2
Cbx7,Emp2
Cbx7,Arhgap29
Cbx7,Klf4
Cbx7,Bmp4
Cbx7,Ets1
Cbx7,Ndrg1
Cbx7,Nfil3
Cbx7,Msx2
Cbx7,Notum
Cbx7,Morc4
Cbx7,Dpp4
Cbx7,Elavl2
Cbx7,Bcat1
Cbx7,Nid1
Cbx7,Nfatc1
Cbx7,Timp3
Cbx7,Emx2
Cbx7,Vegfa
Cbx7,Loxl2
Cbx7,Impdh1
Cbx7,Commd3
Cbx7,Kit
Cbx7,Klf2
Cbx7,Timp2
Cbx7,Notch1
Cbx7,Pax1
Cbx7,Fabp3
Cbx7,Lama1
Cbx7,Epha4
Cbx7,Zfhx3
Cbx7,Sox17
Cbx7,Fosl2
Cbx7,Lamb1
Cbx7,Foxa2
Cbx7,Sos2
Cbx7,Six5
Cbx7,Eya1
Cbx7,Foxd3
Cbx7,Mt1
Cbx7,Gata3
Cbx7,Pdgfra
Cbx7,Ckb
Cbx7,Tenm4
Cbx7,Pax6
Cbx7,Rapgef3
Cbx7,Shroom3
Cbx7,Pitx2
Cbx7,Klf15
Cbx7,Elf2
Cbx7,Six1
Cbx7,Runx1
Cbx7,Clcn5
Cbx7,Cemip
Cbx7,Gli2
Cbx7,Hspb1
Cbx7,Phf12
Cbx7,Hes6
Cbx7,Txnip
Cbx7,Nfic
Cbx7,Stard10
Cbx7,Meis1
Cbx7,Tcea3
Cbx7,Rfx2
Cbx7,Gbx2
Cbx7,Anxa5
Cbx7,Phlda3
Cbx7,Nfib
Cbx7,Tyro3
Cbx7,Sfi1
Cbx7,Rfxap
Cbx7,Otx2
Cbx7,Smad3
Cbx7,Anxa2
Cbx7,Arhgef40
Cbx7,Zfp423
Cbx7,Sdc4
Cbx7,Upp1
Cbx7,Stard8
Cbx7,Mme
Cbx7,Rbmxl2
Cbx7,Hdac2
Cbx7,Myc
Cbx7,Prox1
Cbx7,Tshz3
Cbx7,Mtf2
Cbx7,Vezf1
Cbx7,Krt8
Cbx7,Dusp9
Cbx7,Jam2
Cbx7,Igfbp2
Cbx7,Tcf12
Cbx7,Abhd5
Cbx7,Rasgrp2
Cbx7,Arnt2
Cbx7,Gata6
Cbx7,Dab2
Cbx7,Parvb
Cbx7,Gjb3
Cbx7,Gata4
Cbx7,Trh
Cbx7,Mapk11
Cbx7,Arntl
Cbx7,Tbx3
Cbx7,Lefty2
Cbx7,Cux2
Cbx7,Spen
Cbx7,Snai1
Cbx7,F3
Cbx7,Pura
Cbx7,Cry1
Cbx7,Mt2
Cbx7,Foxj2
Cbx7,Chd5
Cbx7,Zhx3
Cbx7,Tubb6
Cbx7,Cd63
Cbx7,Lama5
Cbx7,Chd7
Cbx7,Zfp277
Cbx7,Gldc
Cbx7,Vsir
Cbx7,Me1
Cbx7,Ldhb
Cbx7,Sgk1
Cbx7,Zfp91
Cbx7,Car2
Cbx7,Plag1
Cbx7,Trps1
Cbx7,Cmklr1
Cbx7,Flrt3
Cbx7,Barx1
Cbx7,Glipr2
Cbx7,Sp1
Cbx7,Taf6
Cbx7,Tle1
Cbx7,Tcerg1
Cbx7,Selenow
Cbx7,Bend5
Cbx7,Apbb1
Cbx7,Hip1
Cbx7,Prdm1
Cbx7,Wwtr1
Cbx7,Mymx
Cbx7,Trip11
Cbx7,Ckap4
Cbx7,Fgf4
Cbx7,Irf6
Cbx7,Pdpn
Cbx7,Tfe3
Cbx7,Ass1
Cbx7,Egr1
Cbx7,Id2
Cbx7,Cotl1
Cbx7,Klf8
Cbx7,Cobl
Cbx7,Ankrd6
Cbx7,Pfkp
Cbx7,Glul
Cbx7,Serpinh1
Cbx7,Tpm4
Cbx7,Aip
Cbx7,Fxyd6
Cbx7,Cic
Cbx7,Meis3
Cbx7,Eps8
Cbx7,Cbx4
Cbx7,Rarg
Cbx7,Adam19
Cbx7,Rnf157
Cbx7,Basp1
Cbx7,Fn1
Cbx7,Crabp2
Cbx7,Irf1
Cbx7,Nfxl1
Cbx8,Phf12
Cbx8,Srsf1
Cbx8,Preb
Cbx8,Smarca4
Cbx8,Yeats4
Cbx8,Fxr2
Cbx8,Esrra
Cbx8,Erp29
Chd4,Ctnnb1
Chd4,Sfi1
Chd4,Srf
Chd4,Med4
Chd4,Ddx20
Chd4,Ctcf
Chd4,Ezh2
Chd4,Hdgf
Chd4,Srebf1
Chd4,Zfp335
Chd4,Ddb2
Chd4,Tfap4
Chd4,Zfp398
Chd4,Xrcc5
Chd4,Mtf2
Chd4,Tmed2
Chd4,Cops2
Chd4,Foxj3
Chd4,Atf7
Chd4,Rrbp1
Chd4,Ints12
Chd4,Calu
Chd4,Ecd
Chd4,Itpk1
Chd4,Scmh1
Chd4,Cnot8
Chd4,Smarca5
Chd4,Abtb1
Chd4,Tada3
Chd4,Tcerg1
Chd4,Fubp3
Chd4,Sp1
Chd4,Notch2
Chd4,Sertad2
Chd4,Brpf1
Chd4,Ruvbl2
Chd4,Hmgxb3
Chd4,Rnf6
Chd4,Tnfaip3
Chd4,Atf6
Chd4,Med21
Chd4,Yeats2
Chd4,Rnf14
Chd4,Snd1
Chd4,Zfp148
Chd4,Pias2
Chd4,Med31
Chd4,Gnpda1
Chd4,Brd7
Chd4,Trrap
Chd4,Zbtb39
Chd4,Suz12
Chd4,Hnrnpd
Chd4,Mylpf
Chd4,Rasgrp2
Chd4,Kank2
Chd4,Pelp1
Chd4,Rbm14
Chd4,Asxl1
Chd4,Irf1
Chd4,Cebpz
Chd4,Nfxl1
Chd4,Keap1
Chd4,Ncoa3
Chd4,Cenpb
Chd4,Ass1
Chd4,Cux1
Chd4,Cic
Chd4,Ankrd54
Chd4,Ctbp1
Chd4,Srsf1
Chd4,Car2
Chd4,Rcc2
Chd4,Hnrnpk
Chd4,Dnajc2
Chd4,Ets1
Chd4,Manf
Chd4,Thrap3
Chd4,Frrs1
Chd4,Rere
Chd4,Zeb1
Chd4,Cnot3
Chd4,Rif1
Chd4,Mkrn1
Chd4,Zmym2
Chd4,Nfya
Chd4,Hdac2
Chd4,Adam19
Chd4,Rfx7
Chd4,Laptm5
Chd4,Xrcc6
Chd4,Srm
Chd4,Hmces
Chd4,Zbtb43
Chd4,Bend5
Chd4,Zfyve21
Chd4,Smarca4
Chd4,Patj
Chd4,Arntl
Chd4,Pias1
Chd4,Edem1
Chd4,Tet2
Chd4,Csrp2
Chd4,Zfp276
Chd4,Dnajc10
Chd4,Cux2
Chd4,Hmgxb4
Chd4,Spry4
Chd4,Rb1
Chd4,Zfp219
Chd4,Glipr2
Chd4,Cnot2
Chd4,Trim28
Chd4,Fxr1
Chd4,Txnip
Chd4,Skil
Chd4,Gsr
Chd4,Trps1
Chd4,Tpd52
Chd4,Lamc1
Chd4,Hmga1
Chd4,Smad2
Chd4,Vsir
Chd4,Satb1
Chd4,Cnot7
Chd4,Zfpm1
Chd4,Ssbp4
Chd4,Zeb2
Chd4,Nedd4
Chd4,Ltbp4
Chd4,Prdm5
Chd4,Elavl2
Chd4,Ckap4
Chd4,Sdc4
Chd4,Klf15
Chd4,Etv1
Chd4,Lama1
Chd4,Mkx
Chd4,Spp1
Chd4,2410141K09Rik
Chd4,Nrg1
Chd4,Dtx1
Chd4,Oplah
Chd4,Tpm4
Chd4,Rbpms2
Chd4,Utf1
Chd4,Tubb6
Chd4,Smad7
Chd4,Dppa2
Chd4,Zfp592
Chd4,Meis3
Chd4,Mme
Chd4,Ebf4
Chd4,Arhgap29
Chd4,Fabp3
Chd4,Tead1
Chd4,Mt2
Chd4,Mymx
Chd4,Me1
Chd4,Eomes
Chd4,Shroom3
Chd4,Zfhx3
Chd4,Nanog
Chd4,Hmga2
Chd4,Arnt2
Chd4,Bcl3
Chd4,Rbmxl2
Chd4,Tead3
Chd4,Glis2
Chd4,Otx2
Chd4,Arhgef40
Chd4,Calcoco2
Chd4,Zfp979
Chd7,Sfi1
Chd7,Mtf2
Chd7,Lrpap1
Chd7,Spp1
Ctcf,Med4
Ctcf,Tox4
Ctcf,Trp53
Ctcf,Rnf14
Ctcf,Zfp398
Ctcf,Tnfaip3
Ctcf,Ddx20
Ctcf,Tfeb
Ctcf,Gnpda1
Ctcf,Ruvbl2
Ctcf,Abt1
Ctcf,Trrap
Ctcf,Vegfa
Ctcf,Mcm5
Ctcf,Tcerg1
Ctcf,Pcbp2
Ctcf,Snai1
Ctcf,Mdm2
Ctcf,Pga5
Ctcf,Elf4
Ctcf,Coil
Ctcf,2200002D01Rik
Ctcf,Nfkb2
Ctcf,Rasgrp2
Ctcf,Smarcd1
Ctcf,Patz1
Ctcf,Glipr2
Ctcf,Aire
Ctcf,Brd7
Ctcf,Itpk1
Ctcf,Gli1
Ctcf,Cux2
Ctcf,Rrbp1
Ctcf,Apobec3
Ctcf,Abtb1
Ctcf,Rrm2
Ctcf,Ankrd6
Ctcf,Akt1
Ctcf,App
Ctcf,Pdgfra
Ctcf,Lrrk1
Ctcf,Ep400
Ctcf,Spock1
Ctcf,Vsir
Ctcf,Adam19
Ctcf,Aip
Ctcf,Trib3
Ctcf,Ddah2
Ctcf,Mgst3
Ctcf,Elf3
Ctcf,Nfx1
Ctcf,Timeless
Ctcf,Cenpb
Ctcf,Rcor2
Ctcf,Fxr2
Ctcf,Ltbp4
Ctcf,Zbtb39
Ctcf,Alpl
Ctcf,Hexim1
Ctcf,Gli2
Ctcf,Rcc2
Ctcf,Rapgef3
Ctcf,Smarcc2
Ctcf,Egr1
Ctcf,Pmm1
Ctcf,Cemip
Ctcf,Sat1
Ctcf,Srf
Ctcf,Ecd
Ctcf,Ilf3
Ctcf,Tfap4
Ctcf,F3
Ctcf,Psip1
Ctcf,Tgfb1
Ctcf,Mllt1
Ctcf,Mycn
Ctcf,Zfp219
Ctcf,Abhd5
